"Ca_processed_masked" "Cb_processed_masked" "HK_processed_masked" "β_processed_masked" "β+C_processed_masked" "β+γ+C_processed_masked" "γ_processed_masked" "γ+Ca_processed_masked" "γ+Cb_processed_masked" "γ+Cc-Cf_processed_masked"
"eadem" 0.245727079124119 0.139438262997638 0.098876404494382 0.216529688103106 0.201943708191342 0.181066719149774 0.121712831483052 0.0985450118833691 0.149554056993692 0.138659394751742
"esset" 0.0982908316496478 0.207734555078114 0.0359550561797753 0.111089144331159 0.134629138794228 0.191563340549761 0.162283775310737 0.115935308098081 0.220252338481618 0.209144587083877
"facit" 0.327636105498826 0.16220369369113 0.0808988764044944 0.186403818453978 0.189322226429383 0.143016466574821 0.158595507690038 0.121732073502985 0.111485751577116 0.165235778745826
"ibi" 0.141975645716158 0.132324065905922 0.125842696629213 0.204291053558148 0.159872102318145 0.162697631699797 0.158595507690038 0.173902962147122 0.222971503154231 0.129415435101626
"quo" 0.180199858024354 0.251842577046755 0.278651685393258 0.107323410625018 0.206150868778661 0.18369087449977 0.162283775310737 0.139122369717698 0.16858820970198 0.119015980495245
"quare" 0.114672636924589 0.153666657181071 0.179775280898876 0.139332147127216 0.164079262905465 0.1600734763498 0.169660310552134 0.150715900527506 0.236567326517294 0.182568203089794
"licet" 0.136515043957844 0.146552460089354 0.179775280898876 0.123327778876117 0.168286423492785 0.192875418224759 0.118024563862354 0.21448031998145 0.198499021100718 0.19181216273991
"caritate" 0.120133238682903 0.139438262997638 0.30561797752809 0.144039314259892 0.33236568639825 0.272912156399659 0.151218972448641 0.0811547156686569 0.0870132695236023 0.102839051107542
"etc" 0.141975645716158 0.175009248456219 0.143820224719101 0.202408186705077 0.201943708191342 0.0852850488748934 0.180725113414229 0.226073850791258 0.17946486839243 0.134037414926684
"autem" 0.13105444219953 0.155089496599414 0.107865168539326 0.190169552160119 0.10517901468299 0.0944695925998819 0.136465901965847 0.162309431337314 0.250163149880357 0.173324243439677
"glossa" 0.0546060175831377 0.177854927292906 0.152808988764045 0.169458016776344 0.10517901468299 0.145640621924818 0.206542986759119 0.313025331864819 0.138677398303241 0.127104445189097
"siue" 0.354939114290395 0.092484562192311 0.170786516853933 0.117679178316905 0.260843956413816 0.261103457324674 0.12908936672445 0.237667381601067 0.0788557755057646 0.0982170712824839
"aut" 0.300333096707257 0.163626533109473 0.0719101123595506 0.109206277478088 0.210358029365981 0.124647379124844 0.151218972448641 0.21448031998145 0.195779856428105 0.144436869533064
"ab" 0.147436247474472 0.167895051364503 0.206741573033708 0.128034946008793 0.10517901468299 0.158761398674802 0.136465901965847 0.179699727552026 0.0897324341962149 0.165235778745826
"uerbum" 0.070987822858079 0.146552460089354 0.152808988764045 0.111089144331159 0.201943708191342 0.199435806599751 0.184413381034928 0.0985450118833691 0.0815749401783772 0.16639127370209
"quantum" 0.0819090263747065 0.170740730201189 0.0539325842696629 0.196759586145866 0.130421978206908 0.107590369349866 0.114336296241655 0.0579676540490406 0.103328257559278 0.172168748483413
"eum" 0.13105444219953 0.182123445547935 0.0449438202247191 0.143097880833357 0.11359333585763 0.0957816702748803 0.0885184228967654 0.266651208625587 0.171307374374592 0.152525334226916
"super" 0.0982908316496478 0.145129620671011 0.152808988764045 0.0837875749616366 0.126214817619589 0.170570097749787 0.147530704827942 0.278244739435395 0.16858820970198 0.158302809008239
"falsa" 0.169278654507727 0.1579351754361 0.143820224719101 0.19393528586626 0.122007657032269 0.0957816702748803 0.165972042931435 0.0289838270245203 0.057102458124864 0.142125879620535
"filius" 0.0327636105498826 0.138015423579295 0.125842696629213 0.111089144331159 0.269258277588456 0.127271534474841 0.339320621104267 0.00579676540490406 0.038068305416576 0.181412708133529
"opus" 0.28941189319063 0.1052901169574 0.125842696629213 0.140273580553751 0.206150868778661 0.123335301449846 0.0700770847932726 0.092748246478465 0.0761366108331521 0.157147314051974
"pater" 0.185660459782668 0.180700606129592 0.143820224719101 0.0649589064309317 0.298708401699693 0.119399068424851 0.302437944897282 0.00579676540490406 0.0761366108331521 0.114394000670187
"uero" 0.262108884399061 0.130901226487579 0.0719101123595506 0.132742113141469 0.172493584080104 0.157449320999803 0.0958949581381625 0.18549649295693 0.0652599521427018 0.0970615763262193
"malum" 0.174739256266041 0.1052901169574 0.278651685393258 0.163809416217132 0.0631074088097943 0.132519845174834 0.0737653524139712 0.0347805924294244 0.160430715684142 0.115549495626452
"scit" 0.0273030087915688 0.189237642639652 0.0808988764044944 0.131800679714934 0.117800496444949 0.101029980974874 0.376203297311253 0.0985450118833691 0.0299108113987383 0.0993725662387484
"caritatem" 0.158357450991099 0.129478387069235 0.161797752808989 0.118620611743441 0.201943708191342 0.16794594239979 0.180725113414229 0.0753579502637528 0.100609092886665 0.0751071721571935
